web_scraper_order,name_0,Character_Nickname_0,Game_Appeared_In_0,Position_0,Element_0,Kick_Lv50_0,Control_Lv50_0,Intelligence_Lv50_0,Technique_Lv50_0,Pressure_Lv50_0,Physical_Lv50_0,Agility_Lv50_0,Gender_0,Character_Role_0,image_0
"1770567117-69","Romica Glimmerly","Romica","Inazuma Eleven: Victory Road","FW","Mountain","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/f/gftuwpo3l98.png"
"1770567119-70","Fenric Wulfgang","Wulfgang","Inazuma Eleven: Victory Road","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/k/ekuyewcbg78.png"
"1770567121-71","Cane Fangley","Fangley","Inazuma Eleven: Victory Road","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/1/m/1mltzp6hniu.png"
"1770567124-72","Elmer Trommel","Trommel","Inazuma Eleven: Victory Road","MF","Fire","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/h/ch37bdecju0.png"
"1770567126-73","Montgomery Marchand","Marchand","Inazuma Eleven: Victory Road","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/j/vjgmg0pp4ok.png"
"1770567128-74","Hardan Kempton","Kempton","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/u/luygdhe6do8.png"
"1770567130-75","Rudgar Dennings","Dennings","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/7/f77vq8xy2im.png"
"1770567133-76","Lawton Dappermann","Lawton","Inazuma Eleven: Victory Road","MF","Wind","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/3/d3vvy8_bee8.png"
"1770567135-77","Judis Nitcher","Judis","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/f/sfeofdz7z3u.png"
"1770567137-78","Coraline Quisittor","Coraline","Inazuma Eleven: Victory Road","FW","Forest","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/w/mw97meszgxk.png"
"1770567140-79","Ordin Scriben","Ordin","Inazuma Eleven: Victory Road","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/_/5/_5lgp4yluim.png"
"1770567142-80","Rhianna Wardholdt","Rhianna","Inazuma Eleven: Victory Road","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/9/y/9ymahhkjrkm.png"
"1770567144-81","Glorian Flaunt","Glorian","Inazuma Eleven: Victory Road","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/l/ylt7oswrviu.png"
"1770567146-82","Puffet Vearn","Puffet","Inazuma Eleven: Victory Road","DF","Fire","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/k/skwo7xjzgok.png"
"1770567149-83","Norah Noshawn","Noshawn","Inazuma Eleven: Victory Road","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/n/ingl2ih0-k0.png"
"1770567151-84","Soria Bordeau","Bordeau","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/n/wn59hfewzbc.png"
"1770567153-85","Manon Matopia","Matopia","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/l/nlicq6is0o0.png"
"1770567155-86","Harolde Narcissus","Harolde","Inazuma Eleven: Victory Road","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/k/hkrp5nxkbie.png"
"1770567158-87","Edith Endenwald","Endenwald","Inazuma Eleven: Victory Road","GK","Wind","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/2/i/2iaiuyxes7s.png"
"1770567160-88","Drewey Fournell","Fournell","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0ddu6bjyp9s.png"
"1770567162-89","Edton Prentt","Prentt","Inazuma Eleven: Victory Road","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/r/frs1x-fieoe.png"
"1770567165-90","Romain Romanze","Romanze","Inazuma Eleven: Victory Road","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/e/lepaejwaxu0.png"
"1770567167-91","Kujira Torikawa","Torikawa","Inazuma Eleven: Victory Road","FW","Mountain","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/q/gqkdxaydoke.png"
"1770567169-92","Biijiro Onoda","Onoda","Inazuma Eleven: Victory Road","FW","Forest","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/3/c/3cv86l-5jxs.png"
"1770567172-93","Ellie Fumble","Ellie","Inazuma Eleven: Victory Road","DF","Forest","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/5/e558rblihlk.png"
"1770567174-94","Actie Verran","Actie","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/1/r/1rid8ktyqwm.png"
"1770567176-95","Cassia Bladecroft","Cassia","Inazuma Eleven: Victory Road","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/7/b73fnpuqnpk.png"
"1770567178-96","Torric Brawnstone","Torric","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/t/wtgkgwiqgam.png"
"1770567181-97","Torwyn Endeavor","Torwyn","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/8/q8lrzl9iv68.png"
"1770567183-98","Calix Virtus","Calix","Inazuma Eleven: Victory Road","GK","Mountain","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/u/huuwe0by4ju.png"
"1770567185-99","Grayson Tiltwood","Grayson","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/1/j1tswtj09pu.png"
"1770567188-100","Aeron Rushmore","Aeron","Inazuma Eleven: Victory Road","DF","Wind","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/d/sdindsvoq88.png"
"1770567190-101","Lockin Somnal","Lockin","Inazuma Eleven: Victory Road","FW","Forest","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/y/yyb4opaglcm.png"
"1770567192-102","Sienna Fairborn","Sienna","Inazuma Eleven: Victory Road","FW","Mountain","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/n/gn54lk-okck.png"
"1770567194-103","Griffin Fastwell","Griffin","Inazuma Eleven: Victory Road","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/l/kl3hnlptvbm.png"
"1770567197-104","Tempest Liebkind","Liebkind","Inazuma Eleven: Victory Road","DF","Forest","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/u/lu-1vqyjilu.png"
"1770567199-105","Megal O'Donn","Megal","Inazuma Eleven: Victory Road","FW","Fire","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/6/g/6gpu4vuzp48.png"
"1770567201-106","Octavian Da Lua","Da Lua","Inazuma Eleven: Victory Road","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/u/uuuziud6uuc.png"
"1770567203-107","Azure Marcet","Marcet","Inazuma Eleven: Victory Road","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/g/lgl4pr7adn0.png"
"1770567206-108","Inga Calmari","Calmari","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/s/rsag-m4ikyc.png"
"1770567208-109","Mako Carcher","Carcher","Inazuma Eleven: Victory Road","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/e/gerbtzeyjr0.png"
"1770567210-110","Barrac Kuda","Kuda","Inazuma Eleven: Victory Road","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/r/ari0aerq8le.png"
"1770567213-111","Evon Newground","Newground","Inazuma Eleven: Victory Road","MF","Mountain","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/x/d/xd5vt7nqr4s.png"
"1770567215-112","Ezra Bachmann","Bachmann","Inazuma Eleven: Victory Road","MF","Forest","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/i/zi-jdifgu-s.png"
"1770567217-113","Salpida Longwheel","Salpida","Inazuma Eleven: Victory Road","MF","Mountain","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/k/ckpoud585ne.png"
"1770567219-114","Jella Fisker","Jella","Inazuma Eleven: Victory Road","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/l/ilsd9am0mt0.png"
"1770567222-115","Kye Sendon","Sendon","Inazuma Eleven: Victory Road","FW","Fire","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/8/u8pbueiaubu.png"
"1770567226-116","Kohara Staley","Kohara","Inazuma Eleven: Victory Road","FW","Wind","111","108","96","98","87","85","80","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/j/qj4mjcdmqok.png"
"1770567229-117","Kara Okenridge","Kara","Inazuma Eleven: Victory Road","MF","Wind","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/r/qrap-zasake.png"
"1770567231-118","Tobias Thumpern","Thumpern","Inazuma Eleven: Victory Road","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/5/b5rutm8wt5s.png"
"1770567233-119","Jayce Chorden","Chorden","Inazuma Eleven: Victory Road","FW","Fire","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/7/w/7wiba7jeyzc.png"
"1770567235-120","Gusmin Strelbard","Gusmin","Inazuma Eleven: Victory Road","MF","Mountain","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/-/k-56tevk1q0.png"
"1770567238-121","Armani Armure","Armure","Inazuma Eleven: Victory Road","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/w/kwi33fmtugu.png"
"1770567240-122","Miriam Masheene","Masheene","Inazuma Eleven: Victory Road","GK","Forest","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/-/v-twa6ax518.png"
"1770567242-123","Tessa Rapperton","Tessa","Inazuma Eleven: Victory Road","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/u/husor3d1eku.png"
"1770567245-124","Kurtz Armishaw","Armishaw","Inazuma Eleven: Victory Road","FW","Fire","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/8/q8dvgilpz58.png"
"1770567247-125","Slater Verbenbaum","Verbenbaum","Inazuma Eleven: Victory Road","FW","Wind","111","108","96","98","87","85","80","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/t/wt-avvqhgzm.png"
"1770567249-126","Elian Kitronic","Kitronic","Inazuma Eleven: Victory Road","MF","Mountain","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/7/b7p74q29rqk.png"
"1770567251-127","Culinaro Brons","Brons","Inazuma Eleven: Victory Road","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/a/dainwzkrusk.png"
